44.4968214,26.034214,Afi City,500,100,Yes,No,3S+P+7E+1M,Yes,Yes,7,50,Power Gas Water
44.44099,26.06515,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44711,26.0703,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43658,26.09108,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44148,26.09623,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44111,26.1031,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44001,26.10825,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43106,26.11375,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42898,26.111,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43155,26.10739,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42371,26.11084,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42236,26.1129,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42555,26.11925,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42714,26.12595,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43364,26.12286,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44233,26.12303,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44748,26.12629,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44993,26.12973,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45164,26.13934,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44601,26.13848,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44099,26.13419,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43021,26.13127,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43596,26.13385,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43493,26.13138,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43218,26.13413,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43015,26.13405,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42862,26.13156,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42721,26.12898,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42617,26.12142,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42439,26.11722,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42115,26.11876,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42158,26.12228,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43987,26.0251,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43987,26.02304,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43987,26.01548,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43987,26.01548,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43595,26.0148,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43707,26.0171,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43634,26.02225,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43193,26.02672,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43107,26.02569,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43131,26.02259,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4307,26.01624,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4247,26.01418,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42494,26.01658,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42494,26.02569,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42139,26.02929,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42065,26.0286,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42016,26.02448,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42004,26.02225,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41955,26.01109,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41882,26.01555,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41784,26.01555,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41428,26.01109,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41538,26.01367,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41587,26.03152,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41845,26.04131,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41869,26.04475,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41796,26.06106,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42114,26.06466,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42335,26.06209,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42225,26.04869,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42654,26.03753,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45753,25.96954,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45949,25.97211,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45459,25.97245,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4507,25.97645,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45397,25.98465,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45716,25.98139,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45373,25.98311,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45201,25.9862,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45336,25.99341,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45128,25.99238,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45054,25.99392,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45152,25.9977,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45397,26.00508,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45201,26.00491,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44895,26.00062,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44834,26.00028,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44797,26.00354,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45017,26.00852,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4514,26.01212,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45042,26.01298,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44711,26.01144,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44675,26.01109,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4443,26.01161,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44535,26.01156,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44437,26.01594,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44486,26.01808,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44363,26.00804,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44351,26.00787,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4421,26.00812,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44232,26.01059,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44125,26.00977,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44088,26.00655,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44039,26.00836,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44,26.0084,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44046,26.00653,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44,26.00642,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43975,26.00423,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43892,26.00544,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43843,26.0075,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43791,26.00818,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44346,26.01784,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44315,26.01707,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44646,26.01428,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4482,26.01368,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45041,26.01063,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44667,26.00724,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4464,26.00702,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44903,26.00548,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45062,25.99492,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44983,25.99754,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44826,25.99771,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44569,25.99672,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44199,25.99608,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43883,25.99668,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43862,25.99668,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43804,25.99668,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43693,25.99617,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43657,25.99591,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43556,25.99327,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43718,25.99398,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43881,25.99434,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44257,25.9943,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44756,25.99016,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44701,25.99008,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44583,25.99068,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41951,26.06734,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41755,26.06528,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41436,26.06254,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41142,26.06219,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41,26.0618,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.40162,26.05773,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.3999,26.0567,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.39916,26.0567,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.39401,26.05395,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.39181,26.05326,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.38557,26.05109,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.383,26.05058,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.39859,26.063,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.40825,26.06483,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.40972,26.06191,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.40887,26.05367,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4036,26.04869,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.39869,26.04131,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.39722,26.03993,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.3933,26.03461,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.39281,26.03272,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.39232,26.03221,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.38925,26.0195,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.38827,26.01881,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.3879,26.01864,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.38533,26.02001,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.38386,26.01709,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.38312,26.01366,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.38239,26.00937,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.38681,26.01159,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.39643,26.01602,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41292,26.02168,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41181,26.02057,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41089,26.01945,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.40906,26.01705,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.40826,26.01619,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
